,10_game_avg,50_game_avg,ha,result,streak
2009-11-14Boise_State,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-14Kent_State,-1.0,-1.0,1.0,1.0,-1.0
2009-11-14Loyola_Mymt,1.0,1.0,0.0,1.0,1.0
2009-11-14Samford,1.0,1.0,0.0,1.0,1.0
2009-11-14UAB,1.0,1.0,0.0,-1.0,1.0
2009-11-14WI-Grn_Bay,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-14Washington,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-14Wright_State,1.0,1.0,1.0,-1.0,1.0
2009-11-15Austin_Peay,-1.0,-1.0,0.0,1.0,-1.0
2009-11-15Boise_State,-1.0,-1.0,0.0,-1.0,-2.0
2009-11-15Bradley,1.0,1.0,1.0,-1.0,1.0
2009-11-15Cal_Poly,1.0,1.0,0.0,1.0,1.0
2009-11-15Detroit,-1.0,-1.0,1.0,1.0,-1.0
2009-11-15Idaho_State,-1.0,-1.0,0.0,1.0,-1.0
2009-11-15Kent_State,0.0,0.0,1.0,-1.0,1.0
2009-11-15Loyola_Mymt,1.0,1.0,0.0,1.0,2.0
2009-11-15NC-Wilmgton,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-15Samford,1.0,1.0,0.0,1.0,2.0
2009-11-15Stanford,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-15UAB,0.0,0.0,1.0,-1.0,-1.0
2009-11-15Valparaiso,-1.0,-1.0,0.0,1.0,-1.0
2009-11-15WI-Grn_Bay,-1.0,-1.0,0.0,1.0,-2.0
2009-11-15Washington,-1.0,-1.0,1.0,1.0,-2.0
2009-11-15Wm_&_Mary,1.0,1.0,0.0,1.0,1.0
2009-11-15Wright_State,1.0,1.0,1.0,1.0,1.0
2009-11-16Auburn,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-16Cal_St_Nrdge,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-16Connecticut,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-16Duke,1.0,1.0,1.0,-1.0,1.0
2009-11-16Hofstra,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-16Kentucky,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-16LSU,1.0,1.0,1.0,-1.0,1.0
2009-11-16Miami_(OH),-1.0,-1.0,0.0,1.0,-1.0
2009-11-16Pacific,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-16S_Florida,1.0,1.0,1.0,1.0,1.0
2009-11-16S_Methodist,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-16San_Diego,1.0,1.0,0.0,1.0,1.0
2009-11-16St_Marys,1.0,1.0,1.0,1.0,1.0
2009-11-16U_Penn,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-17AR_Lit_Rock,-1.0,-1.0,0.0,1.0,-1.0
2009-11-17Arizona_St,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-17BYU,-1.0,-1.0,1.0,1.0,-1.0
2009-11-17Cal_St_Nrdge,-1.0,-1.0,1.0,-1.0,-2.0
2009-11-17Coastal_Car,1.0,1.0,0.0,1.0,1.0
2009-11-17Colgate,1.0,1.0,0.0,-1.0,1.0
2009-11-17Connecticut,-1.0,-1.0,1.0,-1.0,-2.0
2009-11-17Drexel,-1.0,-1.0,0.0,1.0,-1.0
2009-11-17Duke,0.0,0.0,1.0,1.0,-1.0
2009-11-17Georgetown,1.0,1.0,1.0,-1.0,1.0
2009-11-17Georgia,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-17Hofstra,-1.0,-1.0,0.0,1.0,-2.0
2009-11-17Idaho_State,0.0,0.0,0.0,-1.0,1.0
2009-11-17Indiana_St,1.0,1.0,0.0,1.0,1.0
2009-11-17Iowa_State,1.0,1.0,0.0,1.0,1.0
2009-11-17Kansas,1.0,1.0,1.0,-1.0,1.0
2009-11-17LA_Monroe,-1.0,-1.0,0.0,1.0,-1.0
2009-11-17LSU,0.0,0.0,1.0,1.0,-1.0
2009-11-17Loyola-Chi,-1.0,-1.0,1.0,1.0,-1.0
2009-11-17NC-Grnsboro,-1.0,-1.0,0.0,1.0,-1.0
2009-11-17N_Mex_State,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-17New_Mexico,1.0,1.0,0.0,1.0,1.0
2009-11-17Niagara,1.0,1.0,1.0,-1.0,1.0
2009-11-17Pepperdine,1.0,1.0,1.0,-1.0,1.0
2009-11-17Pittsburgh,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-17Siena,1.0,1.0,1.0,-1.0,1.0
2009-11-17St_Bonavent,1.0,1.0,1.0,1.0,1.0
2009-11-17St_Peters,1.0,1.0,1.0,1.0,1.0
2009-11-17TX_Christian,1.0,1.0,0.0,1.0,1.0
2009-11-17Temple,1.0,1.0,0.0,1.0,1.0
2009-11-17Texas_State,1.0,1.0,0.0,1.0,1.0
2009-11-17UAB,-0.3333333333333333,-0.3333333333333333,0.0,1.0,-2.0
2009-11-17UC_Riverside,-1.0,-1.0,0.0,1.0,-1.0
2009-11-17WI-Milwkee,1.0,1.0,1.0,-1.0,1.0
2009-11-17W_Kentucky,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-17Weber_State,-1.0,-1.0,0.0,-1.0,-1.0
2009-11-17Wofford,1.0,1.0,0.0,1.0,1.0
2009-11-17Xavier,1.0,1.0,1.0,1.0,1.0
2009-11-17Yale,1.0,1.0,1.0,1.0,1.0
2009-11-18Central_Mich,-1.0,-1.0,1.0,1.0,-1.0
2009-11-18Cornell,1.0,1.0,0.0,1.0,1.0
2009-11-18GA_Southern,-1.0,-1.0,0.0,1.0,-1.0
2009-11-18Kent_State,-0.3333333333333333,-0.3333333333333333,0.0,1.0,-1.0
2009-11-18Loyola_Mymt,1.0,1.0,1.0,-1.0,3.0
2009-11-18Princeton,1.0,1.0,1.0,1.0,1.0
2009-11-18Texas,1.0,1.0,1.0,1.0,1.0
2009-11-18UC_Irvine,-1.0,-1.0,0.0,1.0,-1.0
2009-11-18U_Mass,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-18Utah,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-18Utah_State,1.0,1.0,0.0,1.0,1.0
2009-11-18Youngs_St,-1.0,-1.0,1.0,-1.0,-1.0
2009-11-19California,1.0,1.0,1.0,-1.0,1.0
2009-11-19Dayton,1.0,1.0,0.0,1.0,1.0
2009-11-19Denver,-1.0,-1.0,1.0,1.0,-1.0
2009-11-19Kansas_St,1.0,1.0,1.0,-1.0,1.0
2009-11-19Minnesota,1.0,1.0,1.0,-1.0,1.0
2009-11-19Mississippi,1.0,1.0,1.0,1.0,1.0
2009-11-19NC-Wilmgton,-1.0,-1.0,0.0,1.0,-2.0
2009-11-19Ohio_State,1.0,1.0,1.0,-1.0,1.0
2009-11-19Penn_State,1.0,1.0,1.0,-1.0,1.0
2009-11-19Pittsburgh,-1.0,-1.0,1.0,-1.0,-2.0
2009-11-19Rider,1.0,1.0,0.0,-1.0,1.0
2009-11-19S_Carolina,1.0,1.0,1.0,1.0,1.0
2009-11-19S_Florida,1.0,1.0,0.0,1.0,2.0
2009-11-19San_Diego_St,-1.0,-1.0,1.0,1.0,-1.0
