,line_acc,line_logloss,ou_acc,ou_logloss,winner_acc,winner_logloss
line_+pts_knn,0.5019975179776618,0.6979811059097967,,,,
line_+pts_lightgbc,0.4995494959454635,0.6958949274377505,,,,
line_+pts_linsvc,0.4986654879893919,0.6989037957487153,,,,
line_+pts_log,0.5078285704571341,0.7028350836894642,,,,
line_raw_lightgbc,0.5004731861198738,0.6934759992100692,,,,
line_raw_log,0.5094637223974764,0.6931460212906533,,,,
ou_+pts_lightgbc,,,0.5062191020113321,0.6935490660936015,,
ou_+pts_linsvc,,,0.5024266913474345,0.6930773230263603,,
ou_+pts_log,,,0.5045712092823765,0.7667781663033538,,
ou_raw_knn,,,0.5030206677265501,0.7024974425933285,,
ou_raw_lightgbc,,,0.505564387917329,0.6940218078240038,,
ou_raw_log,,,0.49888712241653416,0.6944145289835376,,
winner_+pts_log,,,,,0.4356863654432225,2.0607732917038173
winner_raw_knn,,,,,0.4687211093990755,0.7334456808519074
winner_raw_lightgbc,,,,,0.46194144838212636,0.7467698726150793
winner_raw_linsvc,,,,,0.46779661016949153,0.753871568346142
winner_raw_log,,,,,0.586748844375963,0.7499491439079514
